PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2018-01-01,NORTE SANTANDER,Estrato 1,Si,Estrato 1 - Si,266.7388475836431,2152
2018-01-01,NORTE SANTANDER,Estrato 2,No,Estrato 2 - No,253.23337515683815,2391
2018-01-01,NORTE SANTANDER,Estrato 2,Si,Estrato 2 - Si,271.70005707762556,3504
2018-01-01,NORTE SANTANDER,Estrato 3,No,Estrato 3 - No,244.59298245614036,285
2018-01-01,NORTE SANTANDER,Estrato 3,Si,Estrato 3 - Si,278.74512743628185,1334
2018-01-01,NORTE SANTANDER,Sin Estrato,No,Sin Estrato - No,218.4939024390244,164
2018-01-01,NORTE SANTANDER,Sin Estrato,Si,Sin Estrato - Si,233.5,46
2018-01-01,PUTUMAYO,Estrato 1,No,Estrato 1 - No,240.61314229249012,2024
2018-01-01,PUTUMAYO,Estrato 1,Si,Estrato 1 - Si,259.9985443959243,687
2018-01-01,PUTUMAYO,Estrato 2,No,Estrato 2 - No,232.304,375
2018-01-01,PUTUMAYO,Estrato 2,Si,Estrato 2 - Si,259.8220640569395,281
2018-01-01,PUTUMAYO,Estrato 3,No,Estrato 3 - No,220.80582524271844,103
2018-01-01,PUTUMAYO,Estrato 3,Si,Estrato 3 - Si,251.45054945054946,91
2018-01-01,PUTUMAYO,Sin Estrato,No,Sin Estrato - No,221.84761904761905,420
2018-01-01,PUTUMAYO,Sin Estrato,Si,Sin Estrato - Si,239.4468085106383,47
2018-01-01,QUINDIO,Estrato 1,No,Estrato 1 - No,238.10643564356437,1212
2018-01-01,QUINDIO,Estrato 1,Si,Estrato 1 - Si,249.0308261405672,811
2018-01-01,QUINDIO,Estrato 2,No,Estrato 2 - No,241.36666666666667,810
2018-01-01,QUINDIO,Estrato 2,Si,Estrato 2 - Si,260.933577087142,1641
2018-01-01,QUINDIO,Estrato 3,No,Estrato 3 - No,249.13725490196077,153
2018-01-01,QUINDIO,Estrato 3,Si,Estrato 3 - Si,273.39396709323586,1094
2018-01-01,QUINDIO,Sin Estrato,No,Sin Estrato - No,230.83673469387756,49
2018-01-01,QUINDIO,Sin Estrato,Si,Sin Estrato - Si,250.74418604651163,43
2018-01-01,RISARALDA,Estrato 1,No,Estrato 1 - No,238.33100824350032,1577
2018-01-01,RISARALDA,Estrato 1,Si,Estrato 1 - Si,251.7596153846154,1040
2018-01-01,RISARALDA,Estrato 2,No,Estrato 2 - No,241.13893016344724,1346
2018-01-01,RISARALDA,Estrato 2,Si,Estrato 2 - Si,259.795,2600
2018-01-01,RISARALDA,Estrato 3,No,Estrato 3 - No,247.05373134328357,335
2018-01-01,RISARALDA,Estrato 3,Si,Estrato 3 - Si,267.15675934803454,2086
2018-01-01,RISARALDA,Sin Estrato,No,Sin Estrato - No,220.5054945054945,91
2018-01-01,RISARALDA,Sin Estrato,Si,Sin Estrato - Si,246.078125,64
2018-01-01,SAN ANDRES,Estrato 1,No,Estrato 1 - No,228.97701149425288,87
2018-01-01,SAN ANDRES,Estrato 1,Si,Estrato 1 - Si,231.35,40
2018-01-01,SAN ANDRES,Estrato 2,No,Estrato 2 - No,239.578125,192
2018-01-01,SAN ANDRES,Estrato 2,Si,Estrato 2 - Si,245.70526315789473,95
2018-01-01,SAN ANDRES,Estrato 3,No,Estrato 3 - No,242.38709677419354,62
2018-01-01,SAN ANDRES,Estrato 3,Si,Estrato 3 - Si,253.10526315789474,76
2018-01-01,SAN ANDRES,Sin Estrato,No,Sin Estrato - No,214.0,9
2018-01-01,SAN ANDRES,Sin Estrato,Si,Sin Estrato - Si,233.25,4
2018-01-01,SANTANDER,Estrato 1,No,Estrato 1 - No,250.11144521706447,5321
2018-01-01,SANTANDER,Estrato 1,Si,Estrato 1 - Si,261.02313624678663,2723
2018-01-01,SANTANDER,Estrato 2,No,Estrato 2 - No,254.85883862688482,3117
2018-01-01,SANTANDER,Estrato 2,Si,Estrato 2 - Si,271.67931294828236,5298
2018-01-01,SANTANDER,Estrato 3,No,Estrato 3 - No,250.3190348525469,746
2018-01-01,SANTANDER,Estrato 3,Si,Estrato 3 - Si,282.389476156918,4257
2018-01-01,SANTANDER,Sin Estrato,No,Sin Estrato - No,223.67410714285714,224
2018-01-01,SANTANDER,Sin Estrato,Si,Sin Estrato - Si,256.00847457627117,118
2018-01-01,SUCRE,Estrato 1,No,Estrato 1 - No,236.30612716763005,4325
2018-01-01,SUCRE,Estrato 1,Si,Estrato 1 - Si,257.5433996383363,1106
2018-01-01,SUCRE,Estrato 2,No,Estrato 2 - No,235.14712471994025,1339
2018-01-01,SUCRE,Estrato 2,Si,Estrato 2 - Si,267.6520198440822,1411
2018-01-01,SUCRE,Estrato 3,No,Estrato 3 - No,219.50279329608938,358
2018-01-01,SUCRE,Estrato 3,Si,Estrato 3 - Si,262.1742243436754,419
2018-01-01,SUCRE,Sin Estrato,No,Sin Estrato - No,208.26902173913044,368
2018-01-01,SUCRE,Sin Estrato,Si,Sin Estrato - Si,202.63636363636363,44
2018-01-01,TOLIMA,Estrato 1,No,Estrato 1 - No,230.9401107196779,3974
2018-01-01,TOLIMA,Estrato 1,Si,Estrato 1 - Si,246.21433447098977,1465
2018-01-01,TOLIMA,Estrato 2,No,Estrato 2 - No,237.59086224665063,2911
2018-01-01,TOLIMA,Estrato 2,Si,Estrato 2 - Si,256.5347686216283,4041
2018-01-01,TOLIMA,Estrato 3,No,Estrato 3 - No,235.8958837772397,413
2018-01-01,TOLIMA,Estrato 3,Si,Estrato 3 - Si,270.7073673364245,1941
2018-01-01,TOLIMA,Sin Estrato,No,Sin Estrato - No,209.08530805687204,211
2018-01-01,TOLIMA,Sin Estrato,Si,Sin Estrato - Si,228.25,64
2018-01-01,VALLE,Estrato 1,No,Estrato 1 - No,233.89958006207777,5477
2018-01-01,VALLE,Estrato 1,Si,Estrato 1 - Si,246.84844429575108,5978
2018-01-01,VALLE,Estrato 2,No,Estrato 2 - No,241.84199949761367,3981
2018-01-01,VALLE,Estrato 2,Si,Estrato 2 - Si,257.7526872690628,11908
2018-01-01,VALLE,Estrato 3,No,Estrato 3 - No,241.78094390026715,1123
2018-01-01,VALLE,Estrato 3,Si,Estrato 3 - Si,266.90279381205266,8662
2018-01-01,VALLE,Sin Estrato,No,Sin Estrato - No,207.91228070175438,399
2018-01-01,VALLE,Sin Estrato,Si,Sin Estrato - Si,235.30864197530863,324
2018-01-01,VAUPES,Estrato 1,No,Estrato 1 - No,227.5839416058394,137
2018-01-01,VAUPES,Estrato 1,Si,Estrato 1 - Si,203.44444444444446,9
2018-01-01,VAUPES,Estrato 2,No,Estrato 2 - No,222.02777777777777,36
2018-01-01,VAUPES,Estrato 2,Si,Estrato 2 - Si,199.85714285714286,7
2018-01-01,VAUPES,Estrato 3,No,Estrato 3 - No,185.8,10
2018-01-01,VAUPES,Estrato 3,Si,Estrato 3 - Si,179.0,5
2018-01-01,VAUPES,Sin Estrato,No,Sin Estrato - No,202.0,108
2018-01-01,VAUPES,Sin Estrato,Si,Sin Estrato - Si,177.0,6
2018-01-01,VICHADA,Estrato 1,No,Estrato 1 - No,236.83653846153845,208
2018-01-01,VICHADA,Estrato 1,Si,Estrato 1 - Si,245.3846153846154,26
2018-01-01,VICHADA,Estrato 2,No,Estrato 2 - No,244.77906976744185,86
2018-01-01,VICHADA,Estrato 2,Si,Estrato 2 - Si,226.72413793103448,29
2018-01-01,VICHADA,Estrato 3,No,Estrato 3 - No,229.4,20
2018-01-01,VICHADA,Estrato 3,Si,Estrato 3 - Si,207.5,4
2018-01-01,VICHADA,Sin Estrato,No,Sin Estrato - No,204.78021978021977,91
2018-01-01,VICHADA,Sin Estrato,Si,Sin Estrato - Si,207.5,4
2019-01-01,AMAZONAS,Estrato 1,No,Estrato 1 - No,212.4326530612245,245
2019-01-01,AMAZONAS,Estrato 1,Si,Estrato 1 - Si,198.5909090909091,22
2019-01-01,AMAZONAS,Estrato 2,No,Estrato 2 - No,221.08391608391608,143
2019-01-01,AMAZONAS,Estrato 2,Si,Estrato 2 - Si,227.06060606060606,33
2019-01-01,AMAZONAS,Estrato 3,No,Estrato 3 - No,239.67088607594937,79
2019-01-01,AMAZONAS,Estrato 3,Si,Estrato 3 - Si,250.06896551724137,29
2019-01-01,AMAZONAS,Sin Estrato,No,Sin Estrato - No,198.1764705882353,102
2019-01-01,AMAZONAS,Sin Estrato,Si,Sin Estrato - Si,196.07692307692307,13
2019-01-01,ANTIOQUIA,Estrato 1,No,Estrato 1 - No,216.9572972972973,9250
2019-01-01,ANTIOQUIA,Estrato 1,Si,Estrato 1 - Si,232.08569830840207,7153
